Date,Bridge,Speed,Type,Test Run,FileName,DirectionTraveled,LaneTraveled,Notes
13-Jun-19,Ashland,15,Concrete,8,Bridge Test_R43_06_14_2019_13_14_17,North,middle,
13-Jun-19,Ashland,15,Concrete,9,Bridge Test_R44_06_14_2019_13_15_31,North,middle,
13-Jun-19,Ashland,15,Concrete,10,Bridge Test_R45_06_14_2019_13_16_52,North,East,
13-Jun-19,Ashland,15,Concrete,11,Bridge Test_R46_06_14_2019_13_18_33,North,East,
13-Jun-19,Ashland,30,Concrete,1,Bridge Test_R47_06_14_2019_13_20_58,North,middle,
13-Jun-19,Ashland,30,Concrete,2,Bridge Test_R48_06_14_2019_13_22_45,North,middle,
13-Jun-19,Ashland,30,Concrete,3,Bridge Test_R49_06_14_2019_13_24_26,North,middle,
13-Jun-19,Ashland,45,Concrete,1,Bridge Test_R50_06_14_2019_13_27_31,North,middle,
13-Jun-19,Ashland,45,Concrete,2,Bridge Test_R51_06_14_2019_13_31_08,North,middle,
13-Jun-19,Ashland,45,Concrete,3,Bridge Test_R52_06_14_2019_13_34_31,North,middle,
13-Jun-19,Ashland,5,Steel,1,SteelBridgeLincoln_R14_06_14_2019_16_53_04,North,East,
13-Jun-19,Ashland,5,Steel,2,SteelBridgeLincoln_R15_06_14_2019_16_56_11,South,West,
13-Jun-19,Ashland,5,Steel,3,SteelBridgeLincoln_R16_06_14_2019_16_59_33,North,East,
13-Jun-19,Ashland,5,Steel,4,SteelBridgeLincoln_R17_06_14_2019_17_01_13,South,West,
13-Jun-19,Ashland,5,Steel,5,SteelBridgeLincoln_R18_06_14_2019_17_04_20,North,East,
13-Jun-19,Ashland,5,Steel,6,SteelBridgeLincoln_R19_06_14_2019_17_05_48,South,West,
13-Jun-19,Ashland,25,Steel,1,SteelBridgeLincoln_R20_06_14_2019_17_10_20,North,East,
13-Jun-19,Ashland,25,Steel,2,SteelBridgeLincoln_R21_06_14_2019_17_11_54,South,West,
13-Jun-19,Ashland,25,Steel,3,SteelBridgeLincoln_R22_06_14_2019_17_14_45,North,East,most data do not start & end on zero
13-Jun-19,Ashland,25,Steel,4,SteelBridgeLincoln_R23_06_14_2019_17_15_51,South,West,
13-Jun-19,Ashland,25,Steel,5,SteelBridgeLincoln_R24_06_14_2019_17_18_14,North,East,
13-Jun-19,Ashland,25,Steel,6,SteelBridgeLincoln_R25_06_14_2019_17_19_46,South,West,
13-Jun-19,Ashland,50,Steel,1,SteelBridgeLincoln_R26_06_14_2019_17_23_15,North,East,
13-Jun-19,Ashland,50,Steel,2,SteelBridgeLincoln_R27_06_14_2019_17_25_38,South,West,
13-Jun-19,Ashland,50,Steel,3,SteelBridgeLincoln_R28_06_14_2019_17_27_43,North,East,
13-Jun-19,Ashland,50,Steel,4,SteelBridgeLincoln_R29_06_14_2019_17_30_11,South,West,
13-Jun-19,Ashland,50,Steel,5,SteelBridgeLincoln_R30_06_14_2019_17_32_28,North,East,
13-Jun-19,Ashland,50,Steel,6,SteelBridgeLincoln_R31_06_14_2019_17_34_38,South,West,
13-Jun-19,Ashland,50,Steel,7,SteelBridgeLincoln_R32_06_14_2019_17_36_57,North,Middle,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
