Time,B7030_18A,B4520_18A,B7037_18A,P-0463-0-CHAN-4,B7060_18A,B4524_18A,B5410_18A,B4531_18A,B7039_18A,B7056_18A,B5406_18A,B5395_18A,B6192_18A,B6190_18A,B7035_18A,B7059_18A,B7046_18A,B7032_18A,B5382_18A,B6191_18A,B6182_18A,B5401_18A,B7062_18A,B7029_18A,B7031_18A,B5412_18A,B7042_18A,B4523_18A,B6178_18A,B5381_18A,IW4-0627-0-CHAN-3,IW4-0627-0-CHAN-4
0.27,0.014196498,0.020630349,0.038448072,-0.002539827,0.001537993,-0.005512267,0.012187987,0.00027955,0.003558419,0.008913098,-0.018978061,0.020885236,0.015793546,-0.003249307,0.019136968,-0.015964945,0.017394787,0.020944348,0.016414497,-0.024065112,0.007333348,0.003371028,-0.013822832,0.02012215,0.01860948,-0.008046006,-0.021981817,-0.022749467,0.007071692,0.001859942,-0.003061234,-0.002334341
0.28,0.027715785,0.028320778,-0.004464412,-0.002530053,0.001537993,-0.059131651,0.017215758,0.031224375,-0.026760795,-0.004514636,-0.016460361,0.017051466,0.033112271,-0.012686868,0.007029118,-0.01350828,0.035632854,0.068494549,0.00162873,-0.008823489,-0.014185359,0.032133845,0.014680586,0.021319964,0.006608443,0.022166397,-0.018369299,-0.006941362,0.013480383,-0.015813551,-0.003064237,-0.002332089
0.29,0.032629115,0.024475564,0.006570554,-0.002534564,0.017468169,-0.056568175,0.003383666,0.046727304,-0.036465385,-0.026487293,-0.006404819,-0.011097186,-0.005278842,0.014271598,-0.005063472,0.028270285,0.04293037,0.047097912,-0.021793511,-0.018984889,-0.019247463,0.000868586,0.002290449,-0.020641705,-0.043821855,-0.034497117,0.015360254,-0.025435014,-0.03662948,-0.02086421,-0.003062735,-0.002329087
0.3,0.010503871,-0.015075218,0.013926244,-0.002539827,0.037090971,0.002147645,0.024768858,0.033848886,0.007190011,0.010133801,0.042606412,-0.005981677,-0.043669955,0.042580466,0.016718449,0.019679586,0.040496593,0.003112545,-0.024250176,-0.02025423,-0.015449932,-0.012879583,0.00479289,-0.032627484,-0.007803483,-0.047093247,0.009336847,0.012834029,-0.061043543,-0.009504042,-0.003058231,-0.002332089
0.31,0.009283168,-0.030456077,-0.020402694,-0.002534564,0.032147124,0.037914247,0.03357318,-0.003565665,0.039935372,0.030901013,0.004901944,-0.013656847,-0.030059116,0.021012168,0.007029118,-0.018429239,0.021041637,0.017377606,-0.023029473,0.034361745,-0.023046901,0.012114314,0.007295332,0.018924335,0.027009444,-0.009312485,-0.020776373,0.027360396,-0.005776209,-0.009504042,-0.003062735,-0.002324583
0.32,0.035070521,-0.012511741,-0.013047004,-0.002541331,0.02601309,0.02640912,-0.014232606,-0.060267325,0.021746896,0.016252575,-0.049137058,-0.018776171,-0.013945834,0.029099326,-0.01352447,-0.007366617,-0.022732014,0.009055844,-0.016864922,0.012769604,0.006066868,0.010878352,-0.007658281,0.004542926,-0.006605669,-0.004277085,-0.013551336,0.002274947,0.028922278,-0.009504042,-0.00306799,-0.002326084
0.33,0.042455775,-0.007445823,-0.009368682,-0.002540579,0.002728178,-0.013141661,-0.001659364,-0.037073965,0.024157784,0.032121716,0.007419644,0.010654218,0.012070401,0.015622001,0.015513005,0.013537924,-0.013004536,-0.025417575,-0.0267221,-0.022794818,0.019990513,0.003371028,0.01840373,-0.019443891,-0.00179915,0.003283645,0.000906366,0.027360396,-0.000649256,-0.001928053,-0.003061234,-0.002338094
0.34,0.028936488,-0.015075218,-0.057184958,-0.002534564,-0.009478853,-0.034870177,0.056209593,0.06088746,0.035083077,0.018693982,0.030040799,0.00937248,0.025681241,-0.031558175,0.033655705,-0.009823282,0.044147258,-0.002830753,-0.01562896,0.016580487,-0.031906536,0.013365534,0.040742598,0.028514484,-0.010206743,-0.008046006,-0.028005224,0.024674849,-0.01609115,-0.014550886,-0.003060483,-0.002327585
0.35,0.032629115,-0.012511741,-0.042471671,-0.002539075,0.013806059,-0.0323067,0.053691893,0.059605722,0.014468453,-0.010618152,-0.041599216,-0.02773308,-0.004027621,0.002140861,0.03486115,-0.030712564,-0.002060169,0.001924267,0.013957832,0.026741887,-0.019247463,0.015867976,0.010957441,0.032115558,-0.015005632,-0.024418686,-0.037637335,-0.028059526,0.004508215,-0.022126875,-0.00306799,-0.002314825
0.36,0.058416468,0.002747048,0.015152669,-0.002544338,0.035809233,-0.033588439,0.036083251,-0.007410879,0.014468453,0.040666638,-0.026515903,-0.018776171,-0.007750766,-0.00055613,0.061487737,-0.014736612,-0.059211964,-0.038494358,-0.005771783,0.005148793,0.040244648,-0.005387517,0.01840373,0.027316669,0.033021407,0.007060195,0.00331344,-0.013533159,0.005789953,-0.005716047,-0.003064237,-0.002327585
