Time,B7030_18A,B4520_18A,B7037_18A,P-0463-0-CHAN-4,B7060_18A,B4524_18A,B5410_18A,B4531_18A,IW4-0626-0-CHAN-1,IW4-0626-0-CHAN-2,IW4-0626-0-CHAN-3,IW4-0626-0-CHAN-4,B6192_18A,B6190_18A,B7035_18A,B7059_18A,B7046_18A,B7032_18A,B5382_18A,B6191_18A,B6182_18A,B5401_18A,B7062_18A,B7029_18A,B7031_18A,B5412_18A,B7042_18A,B4523_18A,B6178_18A,B5381_18A,IW4-0627-0-CHAN-3,IW4-0627-0-CHAN-4
0.26,0.031862895,0.001173077,-0.026973432,-0.002530804,0.027746258,0.034711896,-0.001758229,-0.032069351,,,,,-0.001982504,0.013127626,-0.040581717,-0.0297457,-0.026628876,0.010661785,-0.017497253,-0.035593766,0.02326107,0.009522893,-0.016502028,-0.005135698,0.004904152,-0.004826022,0.005727782,-0.022926273,-0.007446993,0.012022987,-0.003064237,-0.002334341
0.27,-0.007443746,-0.01158327,-0.029425328,-0.002538323,0.031408368,0.027051983,-0.005542408,-0.024317886,,,,,-0.000746542,0.007737459,0.006598458,0.019418119,-0.013254547,0.011851971,-0.019969177,-0.04067399,0.025792122,-0.031736873,0.002113694,-0.000344438,0.027708412,-0.003559543,0.068353667,-0.01767725,-0.006165255,0.006972328,-0.003065738,-0.002329837
0.28,-0.006223043,0.031873761,0.004904086,-0.002540579,0.022802411,-0.031694354,0.002003063,0.014317368,,,,,0.005448526,0.003690065,-0.010338797,0.012040494,-0.008390808,0.028493588,0.015797424,0.010132056,-0.005850792,0.007020451,0.022011155,0.004462081,0.073339821,0.031695889,0.045469298,0.060081539,0.03497244,0.039793983,-0.003075497,-0.002341096
0.29,0.010973612,0.049696026,-0.009808248,-0.002526293,-0.010278644,-0.017656268,-0.011829029,-0.0024673,,,,,0.016587442,-0.001700102,-0.040581717,0.003442166,-0.016901398,0.016605084,0.012089539,0.007591468,0.016932487,0.014512517,0.015785569,-0.006341142,0.051725746,0.03799014,-0.013547883,0.083824215,0.059386503,0.009497657,-0.003075497,-0.002350103
0.3,-0.016049703,0.031873761,-0.006130403,-0.002524038,-0.036004962,0.057691632,-0.008060109,-0.001185562,,,,,0.024033731,0.014474214,-0.032120719,0.000977872,-0.020552063,0.035627072,0.0133255,-0.003839273,0.047312737,0.012010075,-0.011497145,0.028433638,-0.004708885,0.024142789,0.005727782,0.01924902,0.020812284,0.000662818,-0.003064237,-0.002339595
0.31,-0.018491109,0.039503155,0.049042041,-0.002524038,0.005651532,0.090894757,0.014591564,0.069676255,,,,,0.005448526,0.037392915,-0.011551871,-0.01991141,0.017144775,0.05108041,-0.006404114,0.008861762,0.016932487,0.055772283,-0.017722731,0.029623824,0.001303078,0.000209378,0.037038817,-0.036170902,0.006682645,0.034743324,-0.003066489,-0.002335842
0.32,0.007296244,0.013929425,0.045364196,-0.002513511,0.02646452,0.025770245,0.015850414,0.089024399,,,,,-0.018095785,0.052216829,0.027174935,0.003442166,0.026872253,0.013040249,-0.023661804,-0.020352144,0.016932487,0.055772283,0.012062425,-0.026719255,0.020506264,-0.007336093,0.017770782,-0.012367191,0.025969755,0.041056648,-0.003074746,-0.002335842
0.33,-0.009900411,0.020399151,-0.025747007,-0.002517271,0.004461346,-0.025285663,0.005787243,0.042637681,,,,,-0.034193808,0.046826662,0.024748788,0.019418119,-0.008390808,0.011851971,0.00716095,-0.035593766,0.058703423,0.012010075,0.009559983,-0.006341142,0.008505226,0.030444669,0.000906005,0.050865231,0.001555692,0.029692665,-0.003073995,-0.002332089
0.34,-0.011136373,0.001173077,-0.030651277,-0.002527797,0.016668378,-0.011247577,-0.01434673,0.023350571,,,,,-0.031721884,-0.004397093,0.027174935,-0.000242831,0.00133667,0.009473507,0.015797424,-0.016541261,0.032122612,-0.006727717,-0.047507888,0.02362712,0.021711708,0.04555087,0.012949004,0.065391598,-0.011292208,0.010760322,-0.003072494,-0.002335842
0.35,0.002382914,-0.035814227,0.028199488,-0.002529301,0.019140301,0.006635724,-0.020633351,0.00912938,,,,,-0.008177572,-0.030005156,0.061041818,0.009583829,0.019578552,-0.014301593,-0.013789368,-0.029243249,-0.002055168,-0.005476497,-0.043784743,0.02362712,0.027708412,0.017848538,0.017770782,0.016624508,0.027251493,0.009497657,-0.003066489,-0.002342597
