Time,A2147,A2149,B7055_18A,B7038_18A,B7040_18A,B4541_18A,B4526_18A,B7044_18A,A2148,A2146_18A,B7050_18A,B7053_18A,B7046_18A,B6178_18A,B7029_18A,B4546_18A,B5398_18A,B5384_18A,B7058_18A,B5411_18A,B5408_18A,B7037_18A,B4524_18A,B7041_18A,B5412_18A,B7057_18A,B4523_18A,B7034_18A,B7045_18A,IW4-0638-0-CHAN-2,IW4-0638-0-CHAN-3,IW4-0638-0-CHAN-4,B4535_18A,B7036_18A,B7043_18A,B7061_18A,B7056_18A,B7062_18A,B7047_18A,B7059_18A,IW4-0631-0-CHAN-1,IW4-0631-0-CHAN-2,IW4-0631-0-CHAN-3,IW4-0631-0-CHAN-4
0.21,4.14301E-06,-0.000109016,0.024643679,-0.014309353,0.009426371,-0.018263075,0.012643772,0.009716571,4.81061E-05,-5.4028E-05,0.095143523,0.060382419,0.028899417,-0.030996435,0.006307041,0.045858944,-0.088647955,0.038940878,0.041391611,-0.080733355,0.030947405,-1.466113904,0.066645454,0.100262361,0.067954456,0.071682874,-0.009576012,0.013767467,0.014442082,-0.001969338,-0.001829046,-0.000960703,-0.002110201,0.048782727,0.012031555,-0.00413861,0.019120609,0.042475083,-0.010318868,0.053660701,-0.002791483,-0.003355294,-0.003475796,-0.003074331
0.22,-1.54458E-06,-2.58362E-05,0.043938418,-0.001980252,-0.003955587,0.012376573,0.02387424,0.037731708,8.21757E-05,-2.19468E-05,0.099980559,0.030185276,-0.014786496,-0.013006323,0.023091709,0.081869686,-0.082422369,0.041626425,0.024250269,-0.063002642,-0.027112288,-1.477100232,0.076868843,0.083477693,0.064200794,0.027691785,0.006232093,0.037754283,0.019405003,-0.001970838,-0.001824545,-0.000948694,-0.017430025,-0.001669505,0.045875549,-0.005351684,0.016694462,0.028742173,-0.033535116,0.015406917,-0.002786987,-0.003367293,-0.003493036,-0.003061581
0.23,-0.0001153,-5.0412E-05,0.037903567,-0.01800198,-0.003955587,0.027696398,0.02753635,0.046246112,3.48552E-05,1.5796E-05,0.11685678,0.035007053,-0.014786496,0.028116114,0.035085117,0.059469784,-0.064813726,0.033569785,-0.006355047,-0.06933504,-0.034695906,-1.499073842,0.076868843,0.03312369,0.067954456,-0.013857898,0.006232093,0.038913951,0.024364109,-0.001967088,-0.001834298,-0.000935935,-0.030186373,0.000733277,0.054359436,0.003193238,0.017899906,0.052423814,-0.021312826,0.026511501,-0.002782491,-0.003366543,-0.003498283,-0.003063081
0.24,-2.42959E-05,-4.28501E-05,-0.005500059,-0.026653714,-0.01247762,-0.004224989,0.020212131,-0.012225568,7.08192E-05,7.61844E-05,0.05775949,0.028972202,0.027686343,0.039682276,0.03630582,0.034628475,-0.052301519,0.036255332,0.004663706,-0.07186037,-0.018277449,-1.544240811,0.055109809,0.009197908,0.054145252,0.00570387,0.014136146,0.042515025,-0.000442867,-0.001957339,-0.001826045,-0.000940438,-0.036534029,0.078813932,0.055580139,0.042293885,0.036179935,0.048700669,0.00923527,0.030215572,-0.002779493,-0.003365793,-0.003489288,-0.003070581
0.25,0.000106522,2.5206E-05,0.012589236,-0.014309353,-0.033160909,-0.034864638,0.026315647,-0.045123517,-1.81426E-05,3.46674E-05,0.009511199,0.00480228,0.034972415,0.019128687,0.06151334,0.039633358,-0.064813726,0.009369345,0.005888224,-0.066794452,-0.01196031,-1.578421452,0.004023384,-0.024371428,0.040336048,0.009381238,0.02731974,0.066562877,-0.02277029,-0.001959589,-0.001826045,-0.000955449,-0.03400107,0.053587815,0.051948547,0.055736878,0.042283451,0.028742173,0.012905009,-0.008038212,-0.002782491,-0.003378542,-0.003491537,-0.003060081
0.26,4.01656E-05,-1.44934E-05,0.035492678,-0.01800198,-0.00517629,-0.059095595,0.038766819,-0.012225568,-6.73574E-05,-3.51566E-05,0.048115935,0.012050205,0.034972415,-0.032278173,0.045918857,0.034628475,-0.052301519,-0.029601602,-0.028392553,-0.031325396,-0.028378767,-1.594290593,-0.01898687,-0.054339689,-0.016182507,0.008160535,-0.006920983,0.026951061,0.021880742,-0.001970838,-0.001838049,-0.000968208,0.018275541,-0.046115497,0.003578186,-0.002902648,0.037400638,0.02752147,-0.004207723,-0.006806065,-0.002789985,-0.003383042,-0.003497534,-0.00305033
0.27,-5.65261E-05,4.22201E-05,0.016197939,-0.050091214,0.016727702,-0.074415419,0.02753635,0.003613055,4.43193E-05,-5.78022E-05,0.060170379,0.027759128,0.025260196,-0.046407812,-0.01169833,0.023459042,-0.023401373,-0.004058389,-0.023494482,-0.002188739,-0.07256822,-1.577200749,-0.015111138,-0.049517912,-0.053886975,0.003262464,-0.045128991,0.004123912,0.030566807,-0.001978337,-0.001828296,-0.000967458,0.065455717,-0.023291686,-0.007286072,-0.005351684,0.06056348,0.032526353,-0.033535116,0.052424739,-0.002787736,-0.003369543,-0.003491537,-0.003060831
0.28,-5.08386E-05,0.000134852,0.021019717,-0.040218777,-0.000308736,-0.042494032,-0.005910916,-0.030505597,3.48552E-05,-5.59149E-05,0.003483977,0.020518833,-0.003861203,-0.002721899,0.001515781,-0.002664005,-0.022180669,0.048340293,0.016906977,-0.049063739,-0.107922835,-1.554006436,-0.012608696,-0.078326506,0.018989002,-0.048037585,-0.02144735,0.034153209,-0.011608486,-0.001981337,-0.001817793,-0.000951696,0.045039457,0.031965634,0.030189514,0.037403443,0.070313846,0.023798325,-0.039646261,0.051188777,-0.002782491,-0.003360544,-0.003491537,-0.003070581
0.29,-4.13596E-05,2.52057E-06,0.019821902,-0.003216214,-0.003955587,-0.010572645,-0.038137478,-0.041461408,-6.73574E-05,-4.45923E-05,0.005894866,-2.71267E-05,-0.002648129,0.0371188,0.01588956,-0.002664005,-0.040979498,0.069824668,0.005888224,-0.081999835,-0.100339216,-1.529592374,0.034663032,-0.053118986,0.060431873,-0.024828967,0.002295326,0.014927135,0.009479161,-0.001970838,-0.001833548,-0.000942689,0.006800932,0.023556611,0.030189514,0.020298341,0.050813114,0.021356919,-0.004207723,0.000598262,-0.002786238,-0.003364293,-0.003505029,-0.003061581
0.3,-8.68602E-05,-7.49878E-05,-0.005500059,-0.011852688,-0.020992025,-0.009351942,-0.035696072,0.035320819,-3.70708E-05,-1.43984E-05,0.064992156,-0.003651089,0.028899417,0.013986475,-0.038096035,0.013510311,-0.074854009,0.02279708,-0.034513235,-0.059195575,-0.07256822,-1.478321889,0.098566841,0.004376131,0.032798206,0.068020765,-0.005608727,-0.001857533,0.024364109,-0.001959589,-0.001850053,-0.000941939,0.018275541,0.029562852,0.025337219,0.022747376,0.033753788,0.022577622,0.023898966,0.026511501,-0.002777994,-0.003370293,-0.003508777,-0.003063081
