Time,A2147,A2149,B7055_18A,B7038_18A,B7040_18A,B4541_18A,B4526_18A,B7044_18A,A2148,A2146_18A,B7050_18A,B7053_18A,B7046_18A,B6178_18A,B7029_18A,B4546_18A,B5398_18A,B5384_18A,B7058_18A,B5411_18A,B5408_18A,B7037_18A,B4524_18A,B7041_18A,B5412_18A,B7057_18A,B4523_18A,B7034_18A,B7045_18A,IW4-0638-0-CHAN-2,IW4-0638-0-CHAN-3,IW4-0638-0-CHAN-4,B4535_18A,B7036_18A,B7043_18A,B7061_18A,B7056_18A,B7062_18A,B7047_18A,B7059_18A
0.21,8.96002E-05,6.02201E-05,-0.026452509,-0.043610667,-0.034297596,0.075725671,-0.085066362,0.008999218,-5.79398E-05,-3.13181E-05,-0.03117557,-0.056312852,-0.039431041,-0.014448443,0.000404882,-0.049745516,-0.130666951,0.006352781,0.005849824,-0.103590114,-0.01751476,-0.002627598,-0.011996204,-0.000923914,0.03111302,-0.004425165,0.038516445,-0.008707993,0.031951933,-0.001967088,-0.001829046,-0.000954698,0.041606408,0.008124552,-0.04545139,0.027406998,0.025389344,-0.001930761,-0.035887449,-0.002630307
0.22,4.03062E-05,-5.69877E-05,0.015753302,0.039061452,-0.017268788,0.106365319,-0.042952104,0.026058544,-0.000126083,-0.000163417,0.006208463,-0.03215056,-0.017595713,-0.029875078,-0.033194971,-0.023561434,-0.140707234,0.017064451,0.011970505,-0.116254908,-0.016248281,-0.01117252,0.044217175,0.03380509,0.038650862,0.010208013,-0.055019932,-0.005106919,-0.018909425,-0.001964089,-0.001820044,-0.000953197,0.033977014,-0.021906653,-0.063578831,-0.001920394,0.001005799,0.030478907,-0.031004636,0.01341431
0.23,5.54737E-05,-0.000111811,0.036245856,0.039061452,-0.050120961,0.101299401,0.006730513,0.027248729,-0.000279403,-0.000172853,0.037565275,-0.009193712,0.063710744,0.008668623,-0.023612452,0.02490048,-0.138174275,-0.023218752,-0.014963165,-0.123861415,-0.025067861,-0.025821911,0.074856824,0.060172278,0.004745833,0.022445562,-0.069515782,-0.003886216,-0.025108309,-0.001972338,-0.001832047,-0.000956199,-0.001728553,0.033350429,0.011372341,-0.028791122,-0.008744567,0.00435586,0.009331973,0.023282932
0.24,-2.60505E-05,-9.72638E-06,0.037458929,-0.036210155,-0.033084523,0.082134362,-0.028059526,0.010219921,-0.000313474,-0.000203047,0.009824796,-0.058739,0.060071523,0.004808149,0.015999364,0.034849211,-0.152029256,-0.042048098,-0.039447799,-0.150465114,-0.002347524,-0.016056286,0.041623181,0.031424719,-0.005309709,-0.003204462,0.059604091,0.012898452,-0.004020662,-0.001980587,-0.00184105,-0.000954698,-0.02595951,0.042960367,0.016194118,-0.022687606,-0.006303161,-0.061623144,-0.007780759,-0.00756271
0.25,-7.53445E-05,-1.16169E-05,0.019362006,-0.002884959,0.002201427,0.111492273,-0.095076127,0.005337108,-7.87623E-05,-0.000180402,-0.00584598,-0.056312852,-0.044290965,-0.023451128,-0.008017969,0.001279875,-0.140707234,0.014409422,-0.001495376,-0.133993251,0.012804454,-0.018496739,0.032712048,0.026602942,0.027344099,0.027328375,0.041171474,0.02968312,-0.017665834,-0.001973088,-0.001835048,-0.000950946,0.012279015,-0.018302956,-0.027293431,-0.009259872,0.008330018,-0.060402441,-0.031004636,-0.010034634
0.26,-1.40402E-06,-7.40017E-05,-0.019219843,0.048933888,0.03870808,0.096172448,-0.095076127,0.012630809,8.21292E-05,-8.79318E-05,0.0110455,-0.003158861,-0.051569407,-0.006758013,-0.015220118,-0.009950594,-0.072958211,0.049352049,0.042579636,-0.094724757,0.007753794,-0.03558849,0.012295788,0.036185461,0.008499495,0.034637335,-0.065548496,0.024861343,0.022026091,-0.001965588,-0.001826796,-0.000950195,0.012279015,-0.007491865,0.027088893,-0.042234115,0.018080384,-0.031715917,0.015443118,0.018350528
0.27,5.35775E-05,-4.1864E-05,-0.014398065,0.006972218,0.053310741,0.064251062,-0.024397417,0.006557811,9.9165E-05,8.75718E-05,0.031538053,-0.021278673,0.033376271,-0.000334063,0.022011327,-0.016115145,-0.067953328,0.018437742,0.011970505,-0.075719935,0.012804454,-0.019718396,0.012295788,0.008658606,-0.034209856,-0.042312739,-0.051052647,-0.038676255,0.061718016,-0.001973088,-0.001829796,-0.000953197,0.002086144,0.003319225,0.02586819,-0.016584091,-0.003877014,0.008079005,0.043542178,-0.012498928
0.28,0.000106663,1.2959E-05,-0.002335992,-0.039902782,0.002201427,0.082134362,-0.02183394,-0.005618702,0.000116199,0.000189478,0.065305754,-0.026115709,0.058858449,-0.019590654,0.008797216,-0.050966219,-0.10182784,0.023808836,-0.040670409,-0.069387538,0.015322154,0.013241542,0.032712048,-0.015328211,-0.044250139,-0.054535029,-0.01812418,-0.074686997,0.019546538,-0.001985087,-0.001843301,-0.00095695,-0.008106727,-0.032717743,-0.061167943,0.032289811,-0.044099182,0.049155665,0.001992495,-0.027307583
0.29,0.000138893,8.66865E-05,-0.014398065,0.003279591,-0.020915638,0.059185144,-0.078962846,-0.008090626,9.72725E-05,9.51202E-05,0.013456388,0.016174025,0.02973705,-0.019590654,-0.004386378,-0.048463778,-0.071737508,0.042607664,-0.059036269,-0.078252894,-0.003614003,0.003475917,-0.037569934,-0.051277918,-0.070617326,-0.023986933,-0.035244541,-0.048319809,-0.005260439,-0.001989587,-0.001850053,-0.000952447,-0.061665076,-0.039925375,-0.053904759,-0.010480575,-0.039216369,0.047934962,-0.012671201,0.017118381
0.3,1.75549E-05,4.6987E-05,0.001280341,0.035353566,0.008282055,0.07322323,-0.065290971,-0.011722218,0.000104842,2.65054E-06,-0.101137118,-0.010406785,-0.009096568,0.004808149,0.030373144,-0.018617586,-0.06667159,0.00497949,-0.039447799,-0.080785853,0.001436656,-0.029484975,-0.106539661,-0.090828699,-0.08569301,-0.014206049,-0.041836338,-0.036295884,-0.007743807,-0.001991836,-0.0018403,-0.000950195,-0.052723426,-0.03151659,-0.022471654,-0.023908309,-0.000214904,0.041648341,0.022767336,0.023282932
0.31,1.75549E-05,-0.000111811,0.010931525,0.023009206,-0.013614308,0.124309655,-0.042952104,-0.011722218,0.000157842,4.9829E-05,-0.086656527,-0.023689561,-0.023661082,0.004808149,0.029213476,-0.00622745,-0.070425252,-0.038019777,-0.008838668,-0.054182155,0.021639292,-0.019718396,-0.042635852,-0.075203699,-0.037963518,0.002899053,-0.01812418,-0.003886216,-0.038753481,-0.001993336,-0.001832047,-0.000950946,-0.001728553,-0.03151659,-0.02125095,0.021288224,-0.017289489,0.036704493,0.011773379,-0.003862454
0.32,0.000152165,-1.72882E-05,0.001280341,0.032896901,-0.046466481,0.083416101,-0.10374312,-0.003207814,0.000106737,9.51202E-05,-0.045656161,0.00893373,-0.027300303,-0.008024492,0.018379736,0.041013761,-0.064199666,-0.056818605,-0.008838668,-0.042783839,-0.003614003,0.013241542,0.031399792,-0.045296472,0.004745833,0.000457647,0.013492031,0.020100601,-0.03007123,-0.001982087,-0.001834298,-0.000945692,0.018657189,-0.026711741,-0.004344212,-0.005597762,-0.062379211,0.00057168,-0.038328855,-0.021135403
0.33,7.8225E-05,0.000107481,-0.004746881,0.000807668,-0.009967457,0.082134362,-0.113630815,-0.014163624,1.96654E-05,2.90708E-05,-0.09027286,-0.022484117,-0.01637501,0.025376997,0.011177587,0.037290617,-0.081777791,-0.012507082,0.007074342,-0.056722743,-0.033917958,0.016904605,0.009701794,-0.042916101,-0.020385393,-0.02276623,-0.001003819,-0.014689438,0.012104063,-0.001974588,-0.001826045,-0.000950195,0.023753625,-0.011095562,-0.024882542,-0.041013412,-0.052628845,-0.04050498,-0.01999542,-0.006330563
0.34,-1.65715E-05,1.61626E-06,-0.005952325,-0.053467845,-0.011180531,0.142131921,-0.050398393,-0.025119435,4.42728E-05,1.96351E-05,-0.077012972,-0.051483445,0.013959462,0.018953047,-0.023612452,-0.049745516,-0.06667159,0.05740869,0.024215684,-0.06431399,0.005220835,0.016904605,-0.022219592,-0.027291101,-0.04927028,-0.021545527,-0.041836338,-0.030314438,0.024505644,-0.001973838,-0.001822294,-0.000962954,0.004619103,0.016533098,-0.026103245,-0.014142684,-0.009965271,-0.050392675,0.010552676,0.020818638
0.35,2.32434E-05,2.43016E-05,0.006109747,-0.039902782,-0.053767811,0.128093835,-0.07273726,0.012630809,9.53782E-05,1.77477E-05,0.008634611,-0.004356675,-0.007883494,-0.011884966,-0.011588526,-0.047182039,-0.065450887,0.038579344,-0.014963165,-0.071920497,0.027956431,0.025449527,0.01479823,0.035025793,-0.002792009,0.006545904,-0.049740391,-0.006327622,0.054275542,-0.001966338,-0.001838799,-0.000962204,0.007213097,0.009325705,0.024678005,0.007845231,0.010756165,-0.030495214,0.003220828,0.00724213
0.36,-3.17391E-05,4.88775E-05,0.008520636,0.021788502,-0.014835011,0.100017663,-0.087629838,0.033352245,1.20938E-05,-9.73679E-05,0.05085568,0.041557021,-0.043070262,0.008668623,0.005196142,0.009946867,-0.089285115,-0.033991457,-0.007616058,-0.051649196,-0.045270498,0.020565761,0.050595349,0.092581946,0.071304671,0.022445562,-0.019436436,0.014119156,0.049316435,-0.001967088,-0.00184255,-0.000959202,0.019938928,-0.009894409,0.006550563,0.002962418,-0.01362738,-0.010597753,0.014214785,-0.006330563
0.37,-0.000134117,-0.00015151,-0.013184992,0.035353566,-0.00023235,0.063030359,-0.024397417,0.005337108,-0.000160152,-0.000199273,0.013456388,0.02342195,-0.010309642,0.02408,-0.020011378,-0.002504305,-0.090505818,-0.036677004,0.020540223,-0.059248073,-0.046536977,0.009579433,0.041623181,0.085318762,0.07005345,0.027328375,0.018771572,0.012898452,-0.016426058,-0.001979087,-0.001829046,-0.000965206,-0.006824988,0.008124552,-0.018840062,-0.006803207,-0.0282453,-0.016823339,0.010552676,-0.017431332
0.38,-0.000134117,-0.000272499,-0.014398065,-0.005356883,-0.029430043,0.03239071,-0.023054643,-0.003207814,-0.000266152,-0.00026721,0.000181242,-0.018860154,0.037015493,0.033082685,-0.013999415,-0.024843172,-0.071737508,0.013036131,-0.023532882,-0.128927333,0.031740611,-0.002627598,0.032712048,0.035025793,0.013519637,0.015106085,0.004275722,0.008076675,-0.007743807,-0.001978337,-0.001829046,-0.000962204,-0.024677772,-0.00869278,0.022236598,-0.011686019,0.027815491,-0.038002538,-0.023665159,-0.003862454
0.39,-0.000101887,-0.000281951,-0.016808954,-0.021393871,-0.00388683,0.074504968,-0.052839799,0.005337108,-0.000305903,-0.000212483,0.05325131,-0.03215056,0.041875417,0.029222212,-0.00322671,-0.049745516,-0.031576375,-0.024592043,-0.0174122,-0.116254908,0.024156993,-0.006290661,0.008450574,-0.016548914,0.011017195,-0.023986933,-0.024715977,-0.006327622,0.002182036,-0.001966338,-0.00184105,-0.000953197,-0.04762699,-0.025510349,0.030720485,0.007845231,0.055845887,-0.019325781,-0.035887449,0.045492099
0.4,-8.48244E-05,-0.000223347,-0.051782098,-0.020157909,0.00342213,0.059185144,-0.051619096,0.012630809,-0.000173403,-8.60449E-05,0.047224088,-0.030937486,0.018811757,0.000962934,-0.005607081,-0.049745516,-0.024038533,-0.074305178,0.043802247,-0.046583278,0.015322154,0.00591637,-0.011996204,-0.017708582,0.023575179,0.005325201,-0.011532383,-0.017130844,-0.058597536,-0.001962589,-0.0018418,-0.000949444,-0.050190467,0.017734489,0.002918971,0.02372963,-0.012406677,0.008079005,-0.033446043,0.01341431
