Time,A2147,B5401_18A,B7049_18A,B6182_18A,P-0463-0-CHAN-1,B7048_18A,B7052_18A,B6181_18A,B6876_18B,B7030_18A,B4531_18A,B5397_18A,A2148,A2149,B7033_18A,B6191_18A,IW4-0624-0-CHAN-1,B4520_18A,B7060_18A,B6190_18A,B7035_18A,B7042_18A,B5395_18A,B7051_18A,B7039_18A,B5410_18A,B7032_18A,B5382_18A,IW4-0634-0-CHAN-1,B5406_18A,B7054_18A,B5381_18A,A2146_18A,B7031_18A,B6192_18A,B5404_18A
0.29,0.000117775,-0.014881152,-0.006842693,0.042828276,-0.002058681,0.005585642,0.023995024,-0.027283466,0.005177272,-0.0214068,-0.005229455,0.015996948,-2.94957E-05,1.52814E-05,0.039973135,-0.052083838,-0.001567776,-0.02218162,-0.037585135,0.021979703,-0.011253648,0.00676838,-0.001003819,-0.034294303,0.024404045,0.029505868,0.061288149,-0.000823276,-0.003209849,-0.011595049,0.001850856,-0.012647789,-9.49773E-05,-0.018708923,0.001593548,0.03584606
0.3,0.00013104,0.03899191,0.005425373,-0.005343721,-0.002072952,-0.007903128,0.051804167,0.007422649,0.031056178,0.036424011,0.03590824,0.015996948,5.57837E-05,-3.63982E-06,0.028925772,-0.029203284,-0.001567776,-0.019618144,0.01150239,0.032767667,-0.0221942,0.009194527,-0.004849034,-0.004272636,0.015889641,0.018225808,0.019601138,0.010285123,-0.003204599,-0.010343828,-0.006663548,0.012605507,-0.000111968,-0.027120807,0.017774153,0.032090491
0.31,1.35539E-05,0.018946153,0.015236774,-0.010440157,-0.002072952,0.004303903,0.043335539,0.004752361,0.015064967,0.033982605,0.00630619,0.028284087,1.03016E-05,3.7987E-05,0.004366751,-0.016492713,-0.001556524,-0.003016581,0.036053781,0.048949613,0.000899977,-0.008887138,-0.001003819,0.014945809,0.032903191,-0.004338126,0.010064394,0.048523648,-0.003202349,0.033738813,0.037220729,0.022722084,-6.47727E-05,-0.006691434,0.020263481,-0.016712839
0.32,4.07907E-06,0.000153047,0.002968708,0.021282866,-0.002065441,0.04226777,0.020371061,0.034117901,0.001515163,-0.015242249,-0.025798303,0.011083617,2.92521E-05,-3.01294E-05,-0.014050607,-0.005052435,-0.001559524,-0.009425272,0.01641572,0.039512052,0.008193679,-0.011298027,0.03869955,0.011337106,0.00128698,-0.001828055,0.025552065,0.031250699,-0.003198599,0.080339155,0.036000026,0.012605507,-1.56882E-05,-0.0102968,-0.028278333,-0.011707956
0.33,8.55614E-05,0.001406175,-0.031378826,-0.037051485,-0.002069948,0.01657197,0.032456022,0.038123333,0.038380397,-0.010328919,0.003742713,0.00248529,4.63065E-05,-5.09426E-05,-0.026330118,-0.015222418,-0.001579028,-0.01449119,0.009045725,-0.019825564,-0.007610612,0.028481636,0.002833767,0.016143624,-0.042490486,0.018225808,0.021981509,-0.025481479,-0.00319335,0.028703413,0.034809841,-0.030332725,-3.83455E-05,-0.007893064,-0.004629773,-0.004198725
0.34,5.97408E-06,0.002658826,-0.008078655,-0.053515718,-0.002066943,0.019013376,0.037293058,-0.01526717,0.022389186,-0.000471741,-0.020671349,-0.00242804,-2.94957E-05,-3.58058E-05,-0.032464151,-0.001241553,-0.001576777,-0.008113017,0.01150239,-0.049500094,-0.001529985,0.020028267,-0.043278294,-0.003074821,-0.015741829,0.044547219,0.03507355,-0.026671664,-0.003203099,-0.000257769,0.040882839,-0.049284141,-6.66614E-05,-0.013901689,0.025242108,-0.026724512
0.35,-0.000102037,-0.021145839,0.029961506,-0.015506075,-0.002062437,0.033722849,0.010704619,-0.017945087,0.000233425,-0.010328919,-0.05405758,0.015996948,-8.64896E-06,-3.20214E-05,0.005595083,0.014009607,-0.001563275,0.017430196,-0.001994009,-0.0090376,0.010623641,-0.025763359,-0.029186802,-0.033088859,0.037770744,0.049563546,0.068444521,0.012757047,-0.003211349,0.046342573,-0.01520847,0.002504189,-4.40042E-05,-0.031928041,-0.003385109,-0.020468408
0.36,-6.03484E-05,-0.031168479,0.016457478,-0.019290254,-0.002063939,0.009247751,-0.005019564,0.010092938,0.048268092,-0.005385071,-0.004008752,0.050397887,0.000106954,-2.6345E-05,0.04734313,-0.033017981,-0.001568526,0.034031759,0.002911691,0.009841337,-0.011253648,0.005578194,-0.027905064,-0.012672599,0.052373406,0.028254647,0.048180849,-0.015624301,-0.003203849,0.022416792,-0.016429173,0.010087807,3.15075E-05,-0.01149843,0.022752809,-0.007954294
0.37,6.85068E-05,0.015187245,-0.003165325,-0.031970308,-0.002060935,0.008027048,0.005867582,0.016768658,0.032276882,0.001969665,0.030720252,0.006170287,0.000112635,-5.6619E-05,0.022784109,-0.050813544,-0.001572276,0.01486672,0.028683786,-0.006340609,-0.024627977,0.070656929,-0.003567295,0.036552254,0.046285149,0.015719552,-0.011374204,-0.057494418,-0.003201599,-0.03678731,0.065296901,-0.002546471,4.09436E-05,-0.00909517,0.047646049,-0.004198725
0.38,0.000112091,0.02896927,-0.02402409,-0.02690439,-0.002067694,-0.016509085,-0.006225008,0.035453045,-0.029246556,0.013047546,0.017902869,-0.044195161,3.30445E-05,9.85346E-05,-0.016503458,-0.006326544,-0.001565525,-0.020930399,0.020093088,0.015235318,0.013053603,0.028481636,0.046382351,0.03535444,0.043843743,0.026999612,-0.013754575,-0.01437308,-0.003204599,-0.020414629,0.043324245,0.047990639,-2.51319E-05,-0.051155784,0.021508145,-0.002947504
